title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Men in Black II",movie,"Action, Adventure, Comedy",2002,tt0120912,6.2,420105,
Munich,movie,"Drama, History, Thriller",2005,tt0408306,7.5,247808,
"Wild Strawberries",movie,"Drama, Romance",1957,tt0050986,8.1,121118,
"The Passion of the Christ",movie,Drama,2004,tt0335345,7.3,264049,
"The Last Samurai",movie,"Action, Drama",2003,tt0325710,7.8,490986,
"Wild Things",movie,"Crime, Drama, Mystery",1998,tt0120890,6.6,136866,
"The Bodyguard",movie,"Drama, Music, Romance",1992,tt0103855,6.4,154474,
Ghostbusters,movie,"Action, Comedy, Fantasy",1984,tt0087332,7.8,472126,
Grease,movie,"Comedy, Musical, Romance",1978,tt0077631,7.2,316038,
"The Ninth Gate",movie,"Mystery, Thriller",1999,tt0142688,6.7,205077,
"Easy Rider",movie,"Adventure, Drama",1969,tt0064276,7.2,120868,
"Interview with the Vampire",movie,"Drama, Fantasy, Horror",1994,tt0110148,7.5,364230,
"The Usual Suspects",movie,"Crime, Drama, Mystery",1995,tt0114814,8.5,1194398,
"Bridget Jones's Diary",movie,"Comedy, Drama, Romance",2001,tt0243155,6.8,278991,
"Life Is Beautiful",movie,"Comedy, Drama, Romance",1997,tt0118799,8.6,782106,
"Boyz n the Hood",movie,"Crime, Drama",1991,tt0101507,7.8,162901,
Troy,movie,"Action, Adventure, Drama",2004,tt0332452,7.3,595691,
"Saw IV",movie,"Horror, Mystery, Thriller",2007,tt0890870,5.9,171880,
Twister,movie,"Action, Adventure, Thriller",1996,tt0117998,6.6,245159,
"Central Station",movie,Drama,1998,tt0140888,8,48180,
Oldboy,movie,"Action, Drama, Mystery",2003,tt0364569,8.3,683286,
"Harry Potter and the Sorcerer's Stone",movie,"Adventure, Family, Fantasy",2001,tt0241527,7.7,908280,
"Harry Potter and the Chamber of Secrets",movie,"Adventure, Family, Fantasy",2002,tt0295297,7.4,732801,
"Harry Potter and the Prisoner of Azkaban",movie,"Adventure, Family, Fantasy",2004,tt0304141,7.9,732638,
"Harry Potter and the Goblet of Fire",movie,"Adventure, Family, Fantasy",2005,tt0330373,7.7,720716,
"Harry Potter and the Order of the Phoenix",movie,"Action, Adventure, Family",2007,tt0373889,7.5,669488,
"Pulp Fiction",movie,"Crime, Drama",1994,tt0110912,8.8,2345961,
Contact,movie,"Drama, Mystery, Sci-Fi",1997,tt0118884,7.5,304374,
"The Piano",movie,"Drama, Music, Romance",1993,tt0107822,7.5,98708,
Together,movie,"Comedy, Drama, Romance",2000,tt0203166,7.4,25126,
"Top Gun",movie,"Action, Drama",1986,tt0092099,7,531184,
