Title,Type,Year,Rating,Votes,Genre
The Sea Inside,movie,2004,8.0,87082.0,Biography
"Manta, Manta",movie,1991,5.7,6129.0,Comedy
Away from Her,movie,2006,7.5,23470.0,Drama
Sweet November,movie,2001,6.7,97018.0,Drama
September 11,movie,2002,6.8,6043.0,Drama
Hulk,movie,2003,5.6,286456.0,Action
The Amazing Spider-Man,movie,2012,6.9,735458.0,Action
Stomp the Yard,movie,2007,5.4,26879.0,Drama
The Others,movie,2001,7.6,411319.0,Horror
Me and My Sister,movie,2004,6.4,1922.0,Comedy
An Unfinished Life,movie,2005,7.0,35024.0,Drama
Crank,movie,2006,6.9,271922.0,Action
Zodiac,movie,2007,7.7,637953.0,Crime
The Butterfly Effect,movie,2004,7.6,541766.0,Drama
Enough,movie,2002,5.8,49826.0,Crime
A Perfect Murder,movie,1998,6.6,95631.0,Crime
Alexander,movie,2004,5.6,180498.0,Action
Bra Boys,movie,2007,6.2,1414.0,Documentary
The Constant Gardener,movie,2005,7.3,152904.0,Drama
Paranoid Park,movie,2007,6.6,32454.0,Crime
Death Proof,movie,2007,7.0,325208.0,Drama
Lara Croft: Tomb Raider,movie,2001,5.8,225677.0,Action
Lara Croft: Tomb Raider - The Cradle of Life,movie,2003,5.5,148828.0,Action
"4 Months, 3 Weeks and 2 Days",movie,2007,7.9,64776.0,Drama
Persepolis,movie,2007,8.0,103160.0,Animation
Secret Sunshine,movie,2007,7.5,10247.0,Drama
The Wedding Planner,movie,2001,5.4,90336.0,Comedy
Hard Target,movie,1993,6.2,59334.0,Action
Mr. Deeds,movie,2002,5.8,158864.0,Comedy
The Patriot,movie,2000,7.2,304580.0,Action
A Few Days with Me,movie,1988,7.0,1283.0,Comedy
Hostage,movie,2005,6.5,115060.0,Action
The Lake House,movie,2006,6.8,161952.0,Drama
The Whole Nine Yards,movie,2000,6.7,132854.0,Comedy
Halloween,movie,2007,6.0,135279.0,Horror
Romeo Must Die,movie,2000,6.1,75717.0,Action
Requiem,movie,2001,5.0,589.0,Action
American Pie,movie,1999,7.0,453039.0,Comedy
The Breakfast Club,movie,1985,7.8,458663.0,Comedy
Rush Hour,movie,1998,7.0,313001.0,Action
Payback,movie,1999,7.1,150151.0,Action
Days of Thunder,movie,1990,6.1,100608.0,Action
The Perfect Storm,movie,2000,6.5,184180.0,Action
The Storm Riders,movie,1998,6.3,4254.0,Action
Kiss of the Dragon,movie,2001,6.6,68318.0,Action
Reindeer Games,movie,2000,5.8,43657.0,Action
Wet Hot American Summer,movie,2001,6.5,62254.0,Comedy
The Glass House,movie,2001,5.8,41342.0,Crime
Heartbreak Hotel,movie,2006,5.4,1729.0,Comedy
Unfaithful,movie,2002,6.7,103511.0,Drama
Eastern Promises,movie,2007,7.6,271128.0,Crime
Lola,movie,1981,7.4,7145.0,Drama
The Golden Compass,movie,2007,6.1,200770.0,Adventure
Stardust,movie,2007,7.6,292796.0,Adventure
The General's Daughter,movie,1999,6.4,66329.0,Crime
Mr. Magorium's Wonder Emporium,movie,2007,6.2,48615.0,Comedy
Closer,movie,2004,7.1,245003.0,Drama
Cold Mountain,movie,2003,7.2,160910.0,Adventure
Clerks,movie,1994,7.7,237165.0,Comedy
Jay and Silent Bob Strike Back,movie,2001,6.8,164252.0,Comedy
Space Jam,movie,1996,6.5,223198.0,Adventure
The Wounded Man,movie,1983,6.6,1410.0,Crime
Inkheart,movie,2008,6.1,84119.0,Adventure
Beowulf,movie,2007,6.3,177537.0,Action
In the Name of the King: A Dungeon Siege Tale,movie,2007,3.8,52216.0,Action
Executive Decision,movie,1996,6.5,63695.0,Action
Field of Dreams,movie,1989,7.5,134578.0,Drama
Taxi,movie,1998,7.0,93189.0,Action
Taxi 2,movie,2000,6.5,61293.0,Action
Taxi 3,movie,2003,5.8,47380.0,Action
Taxi 4,movie,2007,5.6,32044.0,Action
The Boat on the Grass,movie,1971,5.8,357.0,Drama
Asterix at the Olympic Games,movie,2008,5.2,33989.0,Adventure
Joint Security Area,movie,2000,7.7,36572.0,Action
The Nativity Story,movie,2006,6.8,12727.0,Adventure
Tie Me Up! Tie Me Down!,movie,1989,7.0,33472.0,Comedy
The Bourne Identity,movie,2002,7.8,596239.0,Action
The Bourne Supremacy,movie,2004,7.7,501180.0,Action
The Bourne Ultimatum,movie,2007,8.0,672522.0,Action
Nobody Knows,movie,2004,8.0,33662.0,Drama
Spanglish,movie,2004,6.4,90876.0,Comedy
The Aviator,movie,2004,7.5,396055.0,Biography
"Planes, Trains & Automobiles",movie,1987,7.6,170600.0,Comedy
Uncle Buck,movie,1989,7.1,114914.0,Comedy
The Great Outdoors,movie,1988,6.6,54228.0,Comedy
The Specialist,movie,1994,5.6,71818.0,Action
Two Weeks Notice,movie,2002,6.2,131263.0,Comedy
The Game,movie,1997,7.7,454268.0,Drama
The Blair Witch Project,movie,1999,6.5,303183.0,Horror
Sleepy Hollow,movie,1999,7.3,400429.0,Fantasy
The Ring,movie,1998,7.2,82163.0,Horror
Evan Almighty,movie,2007,5.4,159466.0,Comedy
The Other Side of the Bed,movie,2002,6.4,5969.0,Comedy
Indochine,movie,1992,7.0,11403.0,Drama
15 Minutes,movie,2001,6.1,52817.0,Action
About Schmidt,movie,2002,7.2,136078.0,Drama
American Pie 2,movie,2001,6.5,279672.0,Comedy
Rumor Has It...,movie,2005,5.5,63558.0,Comedy
My Boss's Daughter,movie,2003,4.7,31242.0,Comedy
Identity,movie,2003,7.3,280964.0,Mystery
A Very Long Engagement,movie,2004,7.6,77032.0,Drama
As Good as It Gets,movie,1997,7.7,329314.0,Comedy
Asterix & Obelix: Mission Cleopatra,movie,2002,6.7,60777.0,Adventure
The Addams Family,movie,1991,7.0,191837.0,Comedy
License to Wed,movie,2007,5.3,41359.0,Comedy
Hairspray,movie,2007,6.7,142828.0,Comedy
One on Top of the Other,movie,1969,6.6,2880.0,Drama
The Man Between,movie,1953,7.0,2751.0,Crime
1408,movie,2007,6.8,305331.0,Fantasy
Experiment in Evil,movie,1959,6.5,1359.0,Drama
Frankenstein,movie,1994,6.3,61131.0,Drama
Ace Ventura: Pet Detective,movie,1994,6.9,340839.0,Comedy
Frankenstein 90,movie,1984,4.5,432.0,Comedy
Alvin and the Chipmunks Meet Frankenstein,movie,1999,6.0,1857.0,Animation
Gangs of New York,movie,2002,7.5,489722.0,Crime
The Horror of Frankenstein,movie,1970,5.8,3124.0,Comedy
Battle Royale,movie,2000,7.5,201455.0,Adventure
The Sensuous Assassin,movie,1970,5.6,573.0,Mystery
The Hero,movie,1970,5.1,216.0,Drama
The Things of Life,movie,1970,7.4,5940.0,Drama
Cesar & Rosalie,movie,1972,7.3,4078.0,Drama
Max and the Junkmen,movie,1971,7.3,3312.0,Crime
That Most Important Thing: Love,movie,1975,7.0,4990.0,Drama
88 Minutes,movie,2007,5.9,79532.0,Crime
Under Siege 2: Dark Territory,movie,1995,5.6,51924.0,Action
U-571,movie,2000,6.6,90018.0,Action
Bagdad Cafe,movie,1987,7.4,16063.0,Comedy
After the Wedding,movie,2006,7.7,38460.0,Drama
"Girl, Interrupted",movie,1999,7.3,225186.0,Biography
I Now Pronounce You Chuck & Larry,movie,2007,5.9,157849.0,Comedy
The Number 23,movie,2007,6.4,217865.0,Crime
Ransom,movie,1996,6.7,140127.0,Action
I Know What You Did Last Summer,movie,1997,5.8,167284.0,Horror
I'll Always Know What You Did Last Summer,movie,2006,3.3,14301.0,Horror
